Province,District,Municipality
Lumbini Pradesh,Dang,Lamahi Municipality
Lumbini Pradesh,Dang,Dangisharan Rural Municipality
Lumbini Pradesh,Dang,Babai Rural Municipality
Lumbini Pradesh,Dang,Shantinagar Rural Municipality
Lumbini Pradesh,Dang,Tulsipur Sub-Metropolitian City
Lumbini Pradesh,Dang,Ghorahi Sub-Metropolitian City
Lumbini Pradesh,Dang,Bangalachuli Rural Municipality
Lumbini Pradesh,Gulmi,Ruru Rural Municipality
Lumbini Pradesh,Gulmi,Chhatrakot Rural Municipality
Lumbini Pradesh,Gulmi,Gulmi Durbar Gaunpaika
Lumbini Pradesh,Gulmi,Resunga Municipality
Lumbini Pradesh,Gulmi,Dhurkot Rural Municipality
Lumbini Pradesh,Gulmi,Madane Rural Municipality
Lumbini Pradesh,Gulmi,Isma Rural Municipality
Lumbini Pradesh,Gulmi,Chandrakot Rural Municipality
Lumbini Pradesh,Gulmi,Satyawoti Rural Municipality
Lumbini Pradesh,Gulmi,Kali Gandaki Rural Municipality
Lumbini Pradesh,Kapilvastu,Shuddhodhan Rural Municipality
Lumbini Pradesh,Kapilvastu,Yasodhara Rural Municipality
Lumbini Pradesh,Kapilvastu,Kapilbastu Municipality
Lumbini Pradesh,Kapilvastu,Maharajganj Municipality
Lumbini Pradesh,Kapilvastu,Krishnanagar Municipality
Lumbini Pradesh,Kapilvastu,Bijayanagar Rural Municipality
Lumbini Pradesh,Kapilvastu,Shivaraj Municipality
Lumbini Pradesh,Kapilvastu,Buddhabhumi Municipality
Lumbini Pradesh,Kapilvastu,Banganga Municipality
Lumbini Pradesh,Nawalparasi West,Susta Rural Municipality
Lumbini Pradesh,Nawalparasi West,Pratapapur Rural Municipality
Lumbini Pradesh,Nawalparasi West,Sarawal Rural Municipality
Lumbini Pradesh,Nawalparasi West,Palhinandan Rural Municipality
Lumbini Pradesh,Nawalparasi West,Ramgram Municipality
Lumbini Pradesh,Nawalparasi West,Sunawal Municipality
Lumbini Pradesh,Nawalparasi West,Bardaghat Municipality
Lumbini Pradesh,Palpa,Nisdi Rural Municipality
Lumbini Pradesh,Palpa,Mathagadhi Rural Municipality
Lumbini Pradesh,Palpa,Tinau Rural Municipality
Lumbini Pradesh,Palpa,Rainadevi Chhahara Rural Municipality
Lumbini Pradesh,Palpa,Ribdikot Rural Municipality
Lumbini Pradesh,Palpa,Tansen Municipality
Lumbini Pradesh,Palpa,Baganaskali Rural Municipality
Lumbini Pradesh,Palpa,Rambha Rural Municipality
Lumbini Pradesh,Palpa,Purbakhola Rural Municipality
Lumbini Pradesh,Palpa,Rampur Municipality
Lumbini Pradesh,Pyuthan,Sarumarani Rural Municipality
Lumbini Pradesh,Pyuthan,Aairawati Rural Municipality
Lumbini Pradesh,Pyuthan,Mallarani Rural Municipality
Lumbini Pradesh,Pyuthan,Mandavi Rural Municipality
Lumbini Pradesh,Pyuthan,Sworgadwari Municipality
Lumbini Pradesh,Pyuthan,Pyuthan Municipality
Lumbini Pradesh,Pyuthan,Jhimaruk Rural Municipality
Lumbini Pradesh,Pyuthan,Naubahini Rural Municipality
Lumbini Pradesh,Pyuthan,Gaumukhi Rural Municipality
Lumbini Pradesh,Rolpa,Lungri Rural Municipality
Lumbini Pradesh,Rolpa,Subarnabati Rural Municipality
Lumbini Pradesh,Rolpa,Runtigadhi Rural Municipality
Lumbini Pradesh,Rolpa,Rolpa Municipality
Lumbini Pradesh,Rolpa,Sukidaha Rural Municipality
Lumbini Pradesh,Rolpa,Duikholi Rural Municipality
Lumbini Pradesh,Rolpa,Thawang Rural Municipality
Lumbini Pradesh,Rolpa,Sunchhahari Rural Municipality
Lumbini Pradesh,Rukum East,Bhoome Rural Municipality
Lumbini Pradesh,Rukum East,Sisne Rural Municipality
Lumbini Pradesh,Rukum East,Putha Uttanganga Rural Municipality
Lumbini Pradesh,Rupandehi,Marchawari Rural Municipality
Lumbini Pradesh,Rupandehi,Sammarimai Rural Municipality
Lumbini Pradesh,Rupandehi,Kotahimai Rural Municipality
Lumbini Pradesh,Rupandehi,Lumbini Sanskritik Municipality
Lumbini Pradesh,Rupandehi,Mayadevi Rural Municipality
Lumbini Pradesh,Rupandehi,Siddharthanagar Municipality
Lumbini Pradesh,Rupandehi,Rohini Rural Municipality
Lumbini Pradesh,Rupandehi,Om Satiya Rural Municipality
Lumbini Pradesh,Rupandehi,Tilottama Municipality
Lumbini Pradesh,Rupandehi,Siyari Rural Municipality
Lumbini Pradesh,Rupandehi,Suddhodhan Rural Municipality
Lumbini Pradesh,Rupandehi,Gaidahawa Rural Municipality
Lumbini Pradesh,Rupandehi,Kanchan Rural Municipality
Lumbini Pradesh,Rupandehi,Sainamaina Municipality
Lumbini Pradesh,Rupandehi,Butwal Sub-Metropolitian City
Lumbini Pradesh,Rupandehi,Devdaha Municipality
Karnali,Dailekh District,Gurans Rural Municipality
Karnali,Dailekh District,Dungeshwor Rural Municipality
Karnali,Dailekh District,Bhagawatimai Rural Municipality
Karnali,Dailekh District,Narayan Municipality
Karnali,Dailekh District,Dullu Municipality
Karnali,Dailekh District,Chamunda Bindrasaini Municipality
Karnali,Dailekh District,Aathbis Municipality
Karnali,Dailekh District,Thantikandh Rural Municipality
Karnali,Dailekh District,Bhairabi Rural Municipality
Karnali,Dailekh District,Mahabu Rural Municipality
Karnali,Dailekh District,Naumule Rural Municipality
Karnali,Dolpa District,Chharka Tangsong Rural Municipality
Karnali,Dolpa District,Kaike Rural Municipality
Karnali,Dolpa District,Thulibheri Municipality
Karnali,Dolpa District,Tripurasundari Municipality
Karnali,Dolpa District,Mudkechula Rural Municipality
Karnali,Dolpa District,Jagadulla Rural Municipality
Karnali,Dolpa District,Shey Phoksundo Rural Municipality
Karnali,Dolpa District,Dolpo Buddha Rural Municipality
Karnali,Humla District,Tanjakot Rural Municipality
Karnali,Humla District,Adanchuli Rural Municipality
Karnali,Humla District,Sarkegad Rural Municipality
Karnali,Humla District,Namkha Rural Municipality
Karnali,Humla District,Simkot Rural Municipality
Karnali,Humla District,Kharpunath Rural Municipality
Karnali,Humla District,Chankheli Rural Municipality
Karnali,Jajarkot District,Tribeni Nalagad Municipality
Karnali,Jajarkot District,Bheri Malika Municipality
Karnali,Jajarkot District,Shivalaya Rural Municipality
Karnali,Jajarkot District,Chhedagad Municipality
Karnali,Jajarkot District,Junichande Rural Municipality
Karnali,Jajarkot District,Kuse Rural Municipality
Karnali,Jajarkot District,Barekot Rural Municipality
Karnali,Jumla District,Hima Rural Municipality
Karnali,Jumla District,Tila Rural Municipality
Karnali,Jumla District,Tatopani Rural Municipality
Karnali,Jumla District,Guthichaur Rural Municipality
Karnali,Jumla District,Chandannath Municipality
Karnali,Jumla District,Sinja Rural Municipality
Karnali,Jumla District,Kanaka Sundari Municipality
Karnali,Jumla District,Patarasi Rural Municipality
Karnali,Kalikot District,Mahawai Rural Municipality
Karnali,Kalikot District,Tilagupha Municipality
Karnali,Kalikot District,Khandachakra Municipality
Karnali,Kalikot District,Naraharinath Rural Municipality
Karnali,Kalikot District,Sanni Tribeni Rural Municipality
Karnali,Kalikot District,Raskot Municipality
Karnali,Kalikot District,Pachal Jharana Rural Municipality
Karnali,Kalikot District,Palata Rural Municipality
Karnali,Mugu District,Khatyad Rural Municipality
Karnali,Mugu District,Soru Rural Municipality
Karnali,Mugu District,Chhayanath Rara Municipality
Karnali,Mugu District,Mugumakarmarog Rural Municipality
Karnali,Rukum West District,Chaurjahari Municipality
Karnali,Rukum West District,Musikot Municipality
Karnali,Rukum West District,Banphikot Rural Municipality
Karnali,Rukum West District,Sanibheri Rural Municipality
Karnali,Rukum West District,Aathabisakot Municipality
Karnali,Salyan District,Kapurkot Rural Municipality
Karnali,Salyan District,Tribeni Rural Municipality
Karnali,Salyan District,Kalimati Rural Municipality
Karnali,Salyan District,Sharada Municipality
Karnali,Salyan District,Chhatreshwori Rural Municipality
Karnali,Salyan District,Bagachour Municipality
Karnali,Salyan District,Dhorchaur Rural Municipality
Karnali,Salyan District,Banagad Kupinde Municipality
Karnali,Salyan District,Kumakh Malika Rural Municipality
Karnali,Salyan District,Darma Rural Municipality
Karnali,Surkhet District,Chaukune Rural Municipality
Karnali,Surkhet District,Panchapuri Municipality
Karnali,Surkhet District,Barahatal Rural Municipality
Karnali,Surkhet District,Birendranagar Municipality
Karnali,Surkhet District,Bheriganga Municipality
Karnali,Surkhet District,Gurbhakot Municipality
Karnali,Surkhet District,Lekabeshi Municipality
Karnali,Surkhet District,Simta Rural Municipality
Karnali,Surkhet District,Chingad Rural Municipality
Sudur Pashchim Pradesh,Achham,Turmakhand Rural Municipality
Sudur Pashchim Pradesh,Achham,Dhakari Rural Municipality
Sudur Pashchim Pradesh,Achham,Kamal Bazar Municipality
Sudur Pashchim Pradesh,Achham,Bannigadhi Jayagadh Rural Municipality
Sudur Pashchim Pradesh,Achham,Mangalsen Municipality
Sudur Pashchim Pradesh,Achham,Chaurpati Rural Municipality
Sudur Pashchim Pradesh,Achham,Sanphebagar Municipality
Sudur Pashchim Pradesh,Achham,Mellekh Rural Municipality
Sudur Pashchim Pradesh,Achham,Ramaroshan Rural Municipality
Sudur Pashchim Pradesh,Achham,Panchdebal Binayak Municipality
Sudur Pashchim Pradesh,Baitadi,Sigas Rural Municipality
Sudur Pashchim Pradesh,Baitadi,Patam Municipality
Sudur Pashchim Pradesh,Baitadi,Melauli Municipality
Sudur Pashchim Pradesh,Baitadi,Shivanath Rural Municipality
Sudur Pashchim Pradesh,Baitadi,Pancheshwor Rural Municipality
Sudur Pashchim Pradesh,Baitadi,Dasharathchand Municipality
Sudur Pashchim Pradesh,Baitadi,Surnaya Rural Municipality
Sudur Pashchim Pradesh,Baitadi,Puchaundi Municipality
Sudur Pashchim Pradesh,Baitadi,Dogada Kedar Rural Municipality
Sudur Pashchim Pradesh,Baitadi,Dilasaini Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Khaptad Chhanna Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Thalara Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Bitthadchir Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Kedarsyun Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Durgathali Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Chhabis Pathibhara Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Jayaprithbi Municipality
Sudur Pashchim Pradesh,Bajhang,Masta Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Talkot Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Surma Rural Municipality
Sudur Pashchim Pradesh,Bajhang,Bungal Municipality
Sudur Pashchim Pradesh,Bajhang,Kanda Rural Municipality
Sudur Pashchim Pradesh,Bajura,Tribeni Municipality
Sudur Pashchim Pradesh,Bajura,Budhiganga Municipality
Sudur Pashchim Pradesh,Bajura,Chhededaha Rural Municipality
Sudur Pashchim Pradesh,Bajura,Badimalika Municipality
Sudur Pashchim Pradesh,Bajura,Pandab Gufa Rural Municipality
Sudur Pashchim Pradesh,Bajura,Swami Kartik Rural Municipality
Sudur Pashchim Pradesh,Bajura,Budhinanda Municipality
Sudur Pashchim Pradesh,Bajura,Gaumul Rural Municipality
Sudur Pashchim Pradesh,Bajura,Himali Rural Municipality
Sudur Pashchim Pradesh,Dadeldhura,Ganyapdhura Rural Municipality
Sudur Pashchim Pradesh,Dadeldhura,Aalital Rural Municipality
Sudur Pashchim Pradesh,Dadeldhura,Parashuram Municipality
Sudur Pashchim Pradesh,Dadeldhura,Bhageshwor Rural Municipality
Sudur Pashchim Pradesh,Dadeldhura,Ajayameru Rural Municipality
Sudur Pashchim Pradesh,Dadeldhura,Amargadhi Municipality
Sudur Pashchim Pradesh,Dadeldhura,Nawadurga Rural Municipality
Sudur Pashchim Pradesh,Darchula,Lekam Rural Municipality
Sudur Pashchim Pradesh,Darchula,Malikarjun Rural Municipality
Sudur Pashchim Pradesh,Darchula,Shailyashikhar Municipality
Sudur Pashchim Pradesh,Darchula,Marma Rural Municipality
Sudur Pashchim Pradesh,Darchula,Apihimal Rural Municipality
Sudur Pashchim Pradesh,Darchula,Naugad  Rural Municipality
Sudur Pashchim Pradesh,Darchula,Duhun Rural Municipality
Sudur Pashchim Pradesh,Darchula,Byas Rural Municipality
Sudur Pashchim Pradesh,Doti,Jorayal Rural Municipality
Sudur Pashchim Pradesh,Doti,Badi Kedar Rural Municipality
Sudur Pashchim Pradesh,Doti,Bogatan Rural Municipality
Sudur Pashchim Pradesh,Doti,Dipayal Silgadhi Municipality
Sudur Pashchim Pradesh,Doti,Shikhar Municipality
Sudur Pashchim Pradesh,Doti,Aadarsha Rural Municipality
Sudur Pashchim Pradesh,Doti,Sayal Rural Municipality
Sudur Pashchim Pradesh,Doti,Purbichouki Rural Municipality
Sudur Pashchim Pradesh,Doti,K.I. Singh Rural Municipality
Sudur Pashchim Pradesh,Kailali,Dhangadhi Sub-Metropolitian City
Sudur Pashchim Pradesh,Kailali,Kailari Rural Municipality
Sudur Pashchim Pradesh,Kailali,Bhajani Municipality
Sudur Pashchim Pradesh,Kailali,Tikapur Municipality
Sudur Pashchim Pradesh,Kailali,Joshipur Rural Municipality
Sudur Pashchim Pradesh,Kailali,Janaki Rural Municipality
Sudur Pashchim Pradesh,Kailali,Lamki Chuha Municipality
Sudur Pashchim Pradesh,Kailali,Bardagoriya Rural Municipality
Sudur Pashchim Pradesh,Kailali,Ghodaghodi Municipality
Sudur Pashchim Pradesh,Kailali,Gauriganga Municipality
Sudur Pashchim Pradesh,Kailali,Chure Rural Municipality
Sudur Pashchim Pradesh,Kailali,Mohanyal Rural Municipality
Sudur Pashchim Pradesh,Kanchanpur,Beldandi Rural Municipality
Sudur Pashchim Pradesh,Kanchanpur,Belouri Municipality
Sudur Pashchim Pradesh,Kanchanpur,Punarbas Municipality
Sudur Pashchim Pradesh,Kanchanpur,Laljhadi Rural Municipality
Sudur Pashchim Pradesh,Kanchanpur,Mahakali Municipality
Sudur Pashchim Pradesh,Kanchanpur,Bhimdatta Municipality
Sudur Pashchim Pradesh,Kanchanpur,Bedkot Municipality
Sudur Pashchim Pradesh,Kanchanpur,Shuklaphanta Municipality
Sudur Pashchim Pradesh,Kanchanpur,Krishnapur Municipality
