Province,District,Municipality
Province 1,Udayapur,Belaka Municipality
Madhesh Pradesh,Bara,Subarna Rural Municipality
Madhesh Pradesh,Bara,Devtal Rural Municipality
Madhesh Pradesh,Bara,Mahagadhimai Municipality
Madhesh Pradesh,Bara,Pacharauta Municipality
Madhesh Pradesh,Bara,Simroungadh Municipality
Madhesh Pradesh,Bara,Aadarsha Kotwal Rural
Madhesh Pradesh,Bara,Baragadhi Rural Municipality
Madhesh Pradesh,Bara,Karaiyamai Rural Municipality
Madhesh Pradesh,Bara,Kalaiya Sub-Metropolitian City
Madhesh Pradesh,Bara,Pheta Rural Municipality
Madhesh Pradesh,Bara,Bishrampur Rural Municipality
Madhesh Pradesh,Bara,Prasauni Rural Municipality
Madhesh Pradesh,Bara,Parawanipur Rural Municipality
Madhesh Pradesh,Bara,Jitpur Simara Sub
Madhesh Pradesh,Bara,Kolhabi Municipality
Madhesh Pradesh,Bara,Nijagadh Municipality
Madhesh Pradesh,Dhanusa,Mukhiyapatti Musaharmiya Rural Municipality
Madhesh Pradesh,Dhanusa,Nagarain Municipality
Madhesh Pradesh,Dhanusa,Dhanauji Rural Municipality
Madhesh Pradesh,Dhanusa,Janakpur Sub-Metropolitian City
Madhesh Pradesh,Dhanusa,Bideha Municipality
Madhesh Pradesh,Dhanusa,Janak Nandini Rural Municipality
Madhesh Pradesh,Dhanusa,Kamala Municipality
Madhesh Pradesh,Dhanusa,Shahidnagar Municipality
Madhesh Pradesh,Dhanusa,Sabaila Municipality
Madhesh Pradesh,Dhanusa,Hansapur Municipality
Madhesh Pradesh,Dhanusa,Mithila Bihari Municipality
Madhesh Pradesh,Dhanusa,Laxminiya Rural Municipality
Madhesh Pradesh,Dhanusa,Chhireshwornath Municipality
Madhesh Pradesh,Dhanusa,Bateshwor Rural Municipality
Madhesh Pradesh,Dhanusa,Mithila Municipality
Madhesh Pradesh,Dhanusa,Dhanushadham Municipality
Madhesh Pradesh,Dhanusa,Ganeshman Charnath Municipality
Madhesh Pradesh,Mahottari,Jaleshwor Municipality
Madhesh Pradesh,Mahottari,Matihani Municipality
Madhesh Pradesh,Mahottari,Pipara Rural Municipality
Madhesh Pradesh,Mahottari,Mahottari Rural Municipality
Madhesh Pradesh,Mahottari,Ekadara Rural Municipality
Madhesh Pradesh,Mahottari,Manara Shisawa Municipality
Madhesh Pradesh,Mahottari,Samsi Rural Municipality
Madhesh Pradesh,Mahottari,Ram Gopalpur Municipality
Madhesh Pradesh,Mahottari,Balawa Municipality
Madhesh Pradesh,Mahottari,Loharpatti Municipality
Madhesh Pradesh,Mahottari,Bhangaha Municipality
Madhesh Pradesh,Mahottari,Aurahi Municipality
Madhesh Pradesh,Mahottari,Sonama Rural Municipality
Madhesh Pradesh,Mahottari,Gaushala Municipality
Madhesh Pradesh,Mahottari,Bardibas Municipality
Madhesh Pradesh,Parsa,Bindabasini Rural Municipality
Madhesh Pradesh,Parsa,Pakaha Mainpur Rural Municipality
Madhesh Pradesh,Parsa,Chhipaharmai Rural Municipality
Madhesh Pradesh,Parsa,Dhobini Rural Municipality
Madhesh Pradesh,Parsa,Kalikamai Rural Municipality
Madhesh Pradesh,Parsa,Pokhariya Municipality
Madhesh Pradesh,Parsa,Bahudarmai Municipality
Madhesh Pradesh,Parsa,Birgunj Metropolitian City
Madhesh Pradesh,Parsa,Parsagadhi Municipality
Madhesh Pradesh,Parsa,Sakhuwa Prasauni Rural Municipality
Madhesh Pradesh,Parsa,Paterwa Sugauli Rural Municipality
